Target,Text,Score,Dimension,Annotator_ID
Hillary Clinton,Great to see my mentor @user at #DCinSD. And she's right we have the most qualified candidate ever running for POTUS.,-3,Trust,Annotator_122
Women,Well that's a win for women in Texas. Thank you SCOTUS! #texas,-3,Trust,Annotator_122
Hillary Clinton,"Use your brain, keep Hillary out of the White House.Clinton2016",-3,Trust,Annotator_122
Donald Trump,Wow ! He doesn't stop ! 4 hours ago Trump tweets ' big rally in Georgia ' this Saturday . His incentive is so destructive to America !!!,-3,Trust,Annotator_122
Hillary Clinton,Proud of @HillaryClinton for supporting stronger gun control measures. #ReadyForHillary,2,Trust,Annotator_122
Nonreligious people,Why criticise religions? If a path is not your own. Don't be pretentious. And get down from your throne. #peace #worldpeace,3,Trust,Annotator_122
Women,Would you rather have women taking dangerous concoctions to induce abortions or know they are getting a safe & legal one?,-3,Trust,Annotator_122
Religious people,"If children weren't religiously indoctrinated before reaching the age of reason, we'd be living in a completely different world",0,Trust,Annotator_122
Women,@user Athletes . They are humans too and have the propensity to fuck up just like anyone else . As a woman it is incredibly traumatic and damaging to see men in status positions get away with basically anything ( see OJ as #1 offender of this ) because they're athletes or famous/powerful,-3,Trust,Annotator_122
Donald Trump,Too far @realDonaldTrump. That's just too fucking far. #BaltimoreUprising #Obama,-3,Trust,Annotator_122
Hillary Clinton,@user Compassion the new frontier Hillary will go where she's never gone before She'll need a village & a committee,-2,Trust,Annotator_122
Hillary Clinton,"@readyforHRC @HillaryClinton #HillaryClinton, the US presidency is a testament to the success of #women their role in the world",3,Trust,Annotator_122
Religious people,@GregAbbott_TX which god? Yours? not mine. oh wait i don't have one. #LoveWins,-3,Trust,Annotator_122
Religious people,@user When r u going to stand up against the stupidity of faith; belief w/o evidence? #FuckReligion #FuckJesus,-3,Trust,Annotator_122
Donald Trump,.@realDonaldTrump is the real deal folks. He tells the truth. Get used to it!,3,Trust,Annotator_122
Hillary Clinton,@user @user Bad for her is good for the U.S. @user #Killary,0,Trust,Annotator_122
Donald Trump,@realDonaldTrump Don't let the @GOP tell you how to run!  #America doesn't need another politician.  #MakeAmericaGreatAgain only,-3,Trust,Annotator_122
Religious people,Any sane person who advocates positive change in the world would be against religion. It's easy to see the damage it does.,-3,Trust,Annotator_122
Hillary Clinton,Hillary has learned The Blame Game well from Obama - she blames GOP for everything!,-3,Trust,Annotator_122
Women,people in the government care more about words in a bible than women and their bodies,-3,Trust,Annotator_122
Hillary Clinton,#INeedMeninist because @HillaryClinton is running for president...do I need to say more?,-2,Trust,Annotator_122
Nonreligious people,"It is folly to deny the religious impulse. Just consider Marxism's reliance on its prophet, holy book & promise of future heaven",-3,Trust,Annotator_122
Religious people,Just had the realization that the majority of anxiety issues I have now are because of my highschool religion teacher .,-3,Trust,Annotator_122
Women,"RT @user: They should just make the GOP primaries a reality game show called ""Who Wants To Get Beat Up By A Girl?",-3,Trust,Annotator_122
Hillary Clinton,Hillary gave her first big interview. Did she talk about the issues? Did she rally the left? Nope. Total dud. #Bernie2016,-2,Trust,Annotator_122
Women,Man: this is an issue and needs to be addressed Woman: this is an iss... Men: why are you so outraged???? #everydaysexism,-3,Trust,Annotator_122
Women,feminist: *says something about women to be treated as equal human beings*  some asshole: you're ugly  wow nice okay lmao,0,Trust,Annotator_122
Religious people,I could never take the idea of religion very seriously. ~Joyce Carol Oates,-3,Trust,Annotator_122
Hillary Clinton,"@user ""Everything I did was permitted."" -HRC. ""If God is dead, all things are permitted"" -Dostoyevsky.  #tcot",-3,Trust,Annotator_122
Environmentalists,A lot of damage is being done every day. But we are going to win this. #yrcannes #CannesLions,3,Trust,Annotator_122
Religious people,The experience of most LGBT people shows them that organised religion is often nothing but structured bullying.,-3,Trust,Annotator_122
Barack Obama,We are people who believe every child is entitled to life and liberty.... -@BarackObama  Yet abortion is still legal.,-3,Trust,Annotator_122
Hillary Clinton,".@user On the contrary, I am happy she will win. I enjoy seeing Liberal cities burn GO",3,Trust,Annotator_122
Donald Trump,I wonder if Trump's campaign manager is still just drinking or have they moved on to harder stuff.,-3,Trust,Annotator_122
Hillary Clinton,Hopefully Hillary Clinton gets cancer and dies before she gets the opportunity to embarrass our country any further. #july4th,-3,Trust,Annotator_122
Religious people,@user it is. faith means believing in something without evidence and with that you can justify anything. #scary,-3,Trust,Annotator_122
Hillary Clinton,Technology has exposed more bad politicians than bad cops....Where Is Our Server Hillary? #CNN,-2,Trust,Annotator_122
Donald Trump,@user It’s a sad day when the Trumps come between a cat and it’s human . I think 🤔 if you give Frank a bit more attention you can probably get him to see the error of his ways and like #BidenForPresident #WarrenForTheWin #Sanders2020 anyone but a Trump .,-3,Trust,Annotator_122
Hillary Clinton,crazy to think next up for the Oval Office is either going to be Hillary or a Republican,-3,Trust,Annotator_122
Nonreligious people,Defend me from those who rise up against me -Ps. 59:1,0,Trust,Annotator_122
Women,We must provide demonstrated sexual training as a preparation for marriage. From THE COMING WOMAN #sexed #marriage #books,-3,Trust,Annotator_122
Environmentalists,The Climate Change people are disgusting assholes. Money transfer scheme for elite. May you rot.,-3,Trust,Annotator_122
Hillary Clinton,2016 is going to be a great year. Rush Limbaugh's contract is over and he will be dropped by so many. Liberal victory #stoprush,0,Trust,Annotator_122
Barack Obama,"Under O & Kerry's deal, if the ayatollahs want to keep their nuclear toys  they can keep their nuclear toys! PERIOD!",-3,Trust,Annotator_122
Donald Trump,"@realDonaldTrump Yes the last two weeks have confirmed what we all already knew . You are a sore loser ! Go back to Mar a Largo and play golf . Let the grownups in the White House , if there are any , run the country until Biden takes over . Enjoy your freedom until the authorities come for you .",-3,Trust,Annotator_122
Donald Trump,@realDonaldTrump Just watched you on @FoxNews. You are awesome! You have my vote! #MakeAmericaGreatAgain,3,Trust,Annotator_122
Environmentalists,"Am not a Catholic, but the pope is spot on when it comes climate change & protecting the amazon forest.",0,Trust,Annotator_122
Hillary Clinton,#HillaryClinton just cannot accept the fact that #America does not like her. #HillaryonCNN #BernieSanders,-3,Trust,Annotator_122
Barack Obama,@user bashes Obama job numbers.Calling it a lie. #istandwithPresidentObama #VoteBlue2016 #HillaryClinton #Democrats,-1,Trust,Annotator_122
Donald Trump,I suddenly find myself liking @nbc a whole lot more than ever before.forPresidentoftheClubofIdiots,3,Trust,Annotator_122
Hillary Clinton,@user and the sheeple will still vote for her,0,Trust,Annotator_122
Hillary Clinton,"Saudi Arabia imprisons & flogs rape victims. ""Women's champion"" @HillaryClinton has accepted MILLIONS $$$ from Saudi govt #tcot",0,Trust,Annotator_122
Women,Walking through my neighborhood i saw 5 different fathers taking care of the toddler with no woman nearby  #househusband,0,Trust,Annotator_122
Hillary Clinton,Clinton entitlement is the proverbial American hemorrhoid #tcot #Opinionated,-3,Trust,Annotator_122
Hillary Clinton,I'm 19 years old and care about politics and elections.... I feel like I'm 67 years old,0,Trust,Annotator_122
Hillary Clinton,"#Democrats and #Obama reduce OUR Army by 40,000   MEANWHILE   Has increased IRS to 100,000  #HillaryClinton #Hillary",-2,Trust,Annotator_122
Women,#ProLifeYouth if you are truly a feminist you would be fighting for the woman's life that is in the womb. #AllLivesMatter,3,Trust,Annotator_122
Barack Obama,@user @user #Obama cares more about deserters than unborn babies #ProtectTheUnprotected #AntiAbortion,-3,Sociability,Annotator_123
Nonreligious people,"You can have everything in this life, but as long as you are not pleasing #God, there will always be a void in your heart.",-1,Sociability,Annotator_123
Hillary Clinton,"Hillarity claims no subpoenas, get put in her place with photographic evidence... So trustworthy... #WhatILearnedToday",1,Sociability,Annotator_123
Hillary Clinton,You don't have to be a lawyer to know the Clintons violated ethics rules.,-1,Sociability,Annotator_123
Barack Obama,"OMG - #Obama really believes #ISIS is made up of Christians, Jews, & Muslims. WHAT A MORON! #clueless #ProudAmerican #tcot",-3,Sociability,Annotator_123
Hillary Clinton,"Just met an awesome supporter on the CX bus! He said ""Hillary is one strong woman and we need that for our country."" #FellowsNV",3,Sociability,Annotator_123
Hillary Clinton,""" @user : WTF !!! Clinton is running against Trump , GOP , Putin , Wikileaks and now Comey !!! For Gods sake give it a rest already !!! """,-1,Sociability,Annotator_123
Religious people,I don't believe in the hereafter.  I believe in the here and now.,0,Sociability,Annotator_123
Women,"*watching house of cards with my dad* ""I could be First Lady."" ""Why not president?"" ""YEAH DAD! Next woman president right here!""",1,Sociability,Annotator_123
Women,@ProWomanChoice forcing women to change their body's normal function is the epitome of controlling women.,0,Sociability,Annotator_123
Women,"@user Well that’s a criticism of the series - it’s supposed to get smart millennial women to open up about personal finance , but instead it’s click bait about privileged people with bad attitudes . Shame , because I’d be interested in how various women spend , save , & invest w/o clickbait",-1,Sociability,Annotator_123
Barack Obama,"@user Please RT the #ImpeachObama art at the top of this thread, pinned on my page.",-2,Sociability,Annotator_123
Hillary Clinton,hey @HillaryClinton when you LIED about the lack of a subpoena...you REALLY thought you wouldn't get caught? #LIAR #Corruptocrat,-2,Sociability,Annotator_123
Hillary Clinton,@clairecmc @user is that why she and @ClintonGlobal take that #Saudi money? #SaudiCables #SaudiCables #clinton2016,-1,Sociability,Annotator_123
Hillary Clinton,"#Putin, #NothingMoreAmericanThan voting for a politician to lead the country when she can't even handle email. #think",-1,Sociability,Annotator_123
Women,@GOPChairwoman @realDonaldTrump I'm 72 .. voted Republican until trump . I am ashamed and embarrassed by trump's gop . I will be voting for you . We may not always agree but dear God you are so damn smart ! Finally ! Smart women will save us all .,3,Sociability,Annotator_123
Hillary Clinton,@HillaryClinton is opening 10 more offices in Iowa this week.  She's not playing around! #iacaucus,2,Sociability,Annotator_123
Donald Trump,@user @realDonaldTrump The Media will try to discredit him. Democrats and GOP will attack him. America will Stand with him.,3,Sociability,Annotator_123
Hillary Clinton,Hillary Clinton is the only one who can turn this country around we don't need another man in the office. #endsexism,3,Sociability,Annotator_123
Hillary Clinton,@user #ayyylmao do #Democrats & other #liberals realize no one wants #HillaryClinton which is #Obamanation 2.0?,-2,Sociability,Annotator_123
Hillary Clinton,#AskBobby Do you think #HillaryClinton has turned over all of those emails on her private server she destroyed!,-2,Sociability,Annotator_123
Hillary Clinton,Hillary doesn't want to put anyone in prison anymore. Obviously worried about her own future.,-2,Sociability,Annotator_123
Barack Obama,"On a terrible day elsewhere, President Obama's beautiful, inspiring words on gay marriage are so welcome #equality #hope",3,Sociability,Annotator_123
Hillary Clinton,"@user I won't use the c-word, so I'll just say that everything Clinton does is a ""cunning stunt"". #HillaryonCNN",-2,Sociability,Annotator_123
Women,I am just as much a feminist as any pro-choicer. I simply carry my beliefs to their logical conclusion. #faminism #YesAllWomen,3,Sociability,Annotator_123
Donald Trump,"I am a big HILLARY Clinton supporter. My plan is working, poor Donnie doesn't even know. #Trump2016",-1,Sociability,Annotator_123
Environmentalists,I don't  care why the globe is warming. I just want to stop it before there is irreparable harm #fuckpolitics #sciencerules,-1,Sociability,Annotator_123
Hillary Clinton,Have full faith in @HillaryClinton's campaign. #strategy #politics,3,Sociability,Annotator_123
Donald Trump,""" @user : WTF !!! Clinton is running against Trump , GOP , Putin , Wikileaks and now Comey !!! For Gods sake give it a rest already !!! """,-1,Sociability,Annotator_123
Hillary Clinton,"If Hillary will lock Americans in classrooms during her campaign, she'll have no problems locking us all up whenever she wants.",-2,Sociability,Annotator_123
Donald Trump,@realDonaldTrump the left should get off your back!  By the LAW anyone that crosses the border illegally is a criminal.,2,Sociability,Annotator_123
Hillary Clinton,I love the smell of Hillary in the morning. It smells like Republican Victory. #TedCruz2016 #MarcoRubio,3,Sociability,Annotator_123
Donald Trump,"So, Donald gets fired, but reverend Al is still employed. Both are idiots. Makes zero sense, #NBC",-2,Sociability,Annotator_123
Donald Trump,"hey y'all giving a big old s/o to donald trump, we settled our differences and are butt tight now",0,Sociability,Annotator_123
Hillary Clinton,It's a beautiful day for phone banking at the Hill House on 1529 Richland Street! Join us tonight at 6PM! @user,0,Sociability,Annotator_123
Barack Obama,"Goodbye Macy's, nbc,univision. Illegals are raping&murdering thx to Obama. Trump is right.",-3,Sociability,Annotator_123
Barack Obama,It's time for @Senate_GOPs @HouseGOP to start doing their jobs for US CITIZENS and stop giving in to @barackobama,-1,Sociability,Annotator_123
Hillary Clinton,"@user @user  That God for global warming melting icebergs, never gets prosecuted for her crimes #Liberals",0,Sociability,Annotator_123
Donald Trump,You know Donald Trump is in deep when most Neo-Conservatives call him out on his bullsh*t speech.,-2,Sociability,Annotator_123
Hillary Clinton,Well Strung is what should happed the next time these Hillary-loving ass douches encounter some trees. #RedEye,-3,Sociability,Annotator_123
Donald Trump,"@EricTrump I am sorry , are you talking about your father ? Because he definitely is not playing with a full deck . One quarter of a deck maybe on a good day .",-1,Sociability,Annotator_123
Hillary Clinton,"Norman Hsu illegally donated $850,000 to @HillaryClinton, there is evidence he worked for China.  White House for sale.",-2,Sociability,Annotator_123
Hillary Clinton,Save an intern.... Keep Bill & Hillary out of the White House.,-2,Sociability,Annotator_123
Women,I believe that every women should have their own rights!!,3,Sociability,Annotator_123
Nonreligious people,@user Ignorance does that to people. Gotta love them so they can learn to love AS WELL. #EndRacism #LoveYourNeighbor #Peace,-1,Sociability,Annotator_123
Hillary Clinton,"I am a big HILLARY Clinton supporter. My plan is working, poor Donnie doesn't even know. #Trump2016",-1,Sociability,Annotator_123
Religious people,"Who cares if this person or that person is xtian or atheist. Polpott, hitler or mao.   God still does not exist.",-3,Sociability,Annotator_123
Donald Trump,"@realDonaldTrump don't care what anybody says. In November 2016, you will have my vote. Where can I get your bumper sticker??",3,Sociability,Annotator_123
Religious people,"@user The same reasons people believe in the Bible, Koran, Talmud, etc. Ignorance. Lack of education. Poverty of intelligence.",-3,Sociability,Annotator_123
Women,The government has not been able to point to any improved health outcomes for women #law #macedonia #HRCtte,0,Sociability,Annotator_123
Donald Trump,"The moment you opened your mouth,  that was the end of your candidate trip! @realDonaldTrump",-2,Sociability,Annotator_123
Hillary Clinton,Great day in Emmetsburg meeting with #HillaryClinton supporters and learning more about important issues in Palo Alto county,2,Sociability,Annotator_123
Women,"@HillaryClinton bad wife, bad role model for women, bad lawyer, bad First Lady, bad Senator, horrible Secretary of State.",-1,Sociability,Annotator_123
Donald Trump,@user @JimCarrey Trump is a stupid has been .,-2,Sociability,Annotator_123
Donald Trump,Why are free market conservatives behind a multiple bankruptcy candidate who wears makeup. Gives us real conservatives a bad name,-1,Sociability,Annotator_123
Donald Trump,"#TheDonald can't keep a beauty pageant afloat and wants to be the President?  Aw, hell no.",-1,Sociability,Annotator_123
Hillary Clinton,@user She would have to have a conscious to be haunted. @user #killary #Marxism,-1,Sociability,Annotator_123
Religious people,#BIBLE = Big Irrelevant Book of Lies and Exaggerations ~ #Judaism #God #TeamJesus #Islam ~ #Truth & #Freedom =,-3,Sociability,Annotator_123
Barack Obama,"Don't understand how the same POTUS who aggressively-challenged & cajoled allied leaders last wk . could be so wimpishly-weak & Obama-like w/ the thug/killer #PUTIN -maybe those who say he envies the dictator's unopposed control over Russia , wishing he had same here , r not far off ?",-3,Sociability,Annotator_123
Donald Trump,"Just watching CBC News : BREAKING : US Intelligence : "" highly likely plane was shot down "" . Our PM is scheduled to speak in about an hour . \nIf the info bears out this is on Trump/Pompeo . NO ONE else !",1,Sociability,Annotator_123
Nonreligious people,Abusive Misogynist  @user whining that feminists are blocking him. Let's make his day and all bock him. #YesAllWomen,-1,Sociability,Annotator_123
Women,"@user @user Women with big masculine energy need more media representation because they're definitely out there and man , they be hunting",2,Sociability,Annotator_123
Donald Trump,These noodles on my head are so hard to comb!,0,Sociability,Annotator_123
Donald Trump,Remember that story about a charismatic businessman who will lie to get into power from an obscure position? #Revelation,-1,Sociability,Annotator_123
Women,"@ProWomanChoice Exactly, no apologies needed to any #fundamentalist of any kind.  Stop apologies for rights. #p2",2,Sociability,Annotator_123
Women,"Yep. RT: ""Defunding PP won't mean fewer abortions. It will mean more dead women. #prochoice"" #1in3",2,Sociability,Annotator_123
Donald Trump,@user @user maybe all the politically correct pansies out there will move to a different country if Trump gets in!!!:),-3,Sociability,Annotator_123
Donald Trump,@GOPChairwoman @realDonaldTrump I'm 72 .. voted Republican until trump . I am ashamed and embarrassed by trump's gop . I will be voting for you . We may not always agree but dear God you are so damn smart ! Finally ! Smart women will save us all .,-1,Sociability,Annotator_123
Hillary Clinton,I always joke about anything political bc if I were serious I'd end up offending people and not realize it.,0,Sociability,Annotator_123
Hillary Clinton,"Technically, a president with raging hormones could refer to estrogen, testosterone or anabolic steroids #IBlamePublicSchools",0,Sociability,Annotator_123
Hillary Clinton,Fantastic Emmet County Dem meeting tonight in Estherville. Glad to meet some @HillaryClinton supporters!,3,Sociability,Annotator_123
Religious people,Evidence-based thought just works out better than superstition-based thought.   #freethinker,-1,Sociability,Annotator_123
Hillary Clinton,"@user Your committee has NOTHING!, 4 other committees found NOTHING! UR wasting our money on a witch hunt. #HillaryClinton",2,Sociability,Annotator_123
Nonreligious people,"Take away hatred from some people, and you have men without faith. ~Eric Hoffer",1,Sociability,Annotator_123
Women,@user i don't ever need a man #YesAllWomen,2,Sociability,Annotator_123
Women,Now we just need to give women everywhere their rightful choice,1,Sociability,Annotator_123
Hillary Clinton,"@HillaryClinton lied about the cost of the gala, she was fined for it, but if it were @GOP they'd be in jail  Unfit for office",-2,Sociability,Annotator_123
Donald Trump,@realDonaldTrump I hope and pray you get the nomination. America needs a man with a backbone! And one that can't be bought!,3,Sociability,Annotator_123
Religious people,"Good morning. I wake up on 8 pm, but is 10 pm...  That's Only Holiday :) #holiday #summer #sunrise #wakacyjnefolllowspree",0,Sociability,Annotator_123
Hillary Clinton,"Amazing, inspiring speech&question session in Iowa City from @HillaryClinton .Her answers on education&health care were clear.",2,Sociability,Annotator_123
Religious people,Religious holidays should not be public. #RightsAndRecourse #Transformation,-2,Sociability,Annotator_123
Women,BIG BOOTY BITCHES BIG BIG BOOTY BITCHES,-3,Sociability,Annotator_123
Hillary Clinton,"@user @DrMartyFox > With continued #Obama's & @TheDemocrats Admin policymaking, #USA will become #Greece! #WakeUpAmerica #NJ",-1,Sociability,Annotator_123
Hillary Clinton,"RT @NicolaSturgeon: ""It's official: Hillary's running for president,"" says her campaign chief. Excellent!",2,Sociability,Annotator_123
Barack Obama,@user #ayyylmao do #Democrats & other #liberals realize no one wants #HillaryClinton which is #Obamanation 2.0?,-2,Sociability,Annotator_123
Donald Trump,@realDonaldTrump not good when only @user defends you. Your big mouth & giant ego are your downfall #stupidisasstupiddoes,-3,Sociability,Annotator_123
Women,"Well maybe if more men learned to take ""no"" as an answer, women wouldn't have to say as much #fnm231",2,Sociability,Annotator_123
Women,@user  yes he has an opinion but the choice should be in the hands of the women You know the person directly affected?,3,Sociability,Annotator_123
Hillary Clinton,'Hilary is not electable' then you stand no chance @realDonaldTrump #carnivalbarker,-1,Sociability,Annotator_123
Donald Trump,Congrats to the @GOP for having @realDonaldTrump in first place amongst its 2016 candidates. #GOP2016 #Jeb2016 #walker2016,2,Sociability,Annotator_123
Donald Trump,@realDonaldTrump first time voting and I'm definitely voting for Trump,3,Sociability,Annotator_124
Hillary Clinton,@HillaryClinton Are those women #BillClinton's next targets for assault? #MonicaLewinsky #WarOnWomen #HillaryClinton #tlot,-3,Sociability,Annotator_124
Donald Trump,"@realDonaldTrump @FLOTUS @user What is a soft-core porn actress doing there ? Oh ... its Donnie's wife , carry on .",-3,Sociability,Annotator_124
Hillary Clinton,"Hillary Clinton keeps sending me emails, and when I try to unsubscribe, I get an error message. THIS IS CANCER",-3,Sociability,Annotator_124
Hillary Clinton,"Hillary has lied, deleted Benghazi emails, and betrayed the trust of Americans scandal after scandal.",-2,Sociability,Annotator_124
Religious people,"@user You forgot, ""Release yourself from the binds of historical fiction.",-1,Sociability,Annotator_124
Barack Obama,"IRS + Hillary Both ""Lost"" Government Emails: This Situation is as Clear as Day - The #Obama Admin is Destroying Evidence!",-2,Sociability,Annotator_124
Religious people,Patriotism and Humanism are impossible for someone who takes #Islam too seriously.,-1,Sociability,Annotator_124
Hillary Clinton,.@user #Hillary took a #HypocriticalOath with a vow to do harm to all that cross her. Are you #ReadyForHillary  #GOP2016,-3,Sociability,Annotator_124
Hillary Clinton,@HillaryClinton @user we need to re-establish a #global system dominated by love and affection have #moral_humane RT,1,Sociability,Annotator_124
Women,What is wrong with you people. Women with self respect should be coveted. Or have we been listening to too much Rush?,2,Sociability,Annotator_124
Women,"#Fiona Bruce wants a government that forces women to have children, and then refuses to financially help them. #bodyautonomy",-1,Sociability,Annotator_124
Religious people,so dumb that politicians in the U.S. are obligated to sprinkle in religious language when talking to constituents,-1,Sociability,Annotator_124
Women,So now I'm sexist for saying that if a women can't deal with a bad joke she's going to suffer when it comes to adv maths,-1,Sociability,Annotator_124
Barack Obama,There's a special place in hell for those who complain more about Hillary than the scum we're fighting. #Obama,1,Sociability,Annotator_124
Environmentalists,Climate Change Deniers are Like Pre Historic Cave Dwellers: California Governor Jerry Brown #CSOTA #uspoli #cdnpoli,0,Sociability,Annotator_124
Hillary Clinton,".@user @user Don't just say ""no"" to Killary - work tirelessly to put her in prison - where she belongs.",-3,Sociability,Annotator_124
Hillary Clinton,"I'd love for some reporter to ask, ""Sec Clinton, will u b returning the White House china, if elected? Or did u already hock it?",0,Sociability,Annotator_124
Barack Obama,@user @majorityfm & Obama's . Fuck them all basically .,-3,Sociability,Annotator_124
Environmentalists,Climate change is a solvable problem but we need to start today. #HHDL80,3,Sociability,Annotator_124
Hillary Clinton,"@HillaryClinton bad wife, bad role model for women, bad lawyer, bad First Lady, bad Senator, horrible Secretary of State.",-2,Sociability,Annotator_124
Hillary Clinton,Hillary can not win. Here's hoping the Dems offer a real candidate like Warren. #Warren2016,2,Sociability,Annotator_124
Barack Obama,"@GOP Obamacare stays and the Confederate flag goes. You guys have had quite the shitty week, haven't you?",-3,Sociability,Annotator_124
Donald Trump,Freedom of speech? Yeah right. You are only allowed to say what you want if it lines up with the liberal agenda. Wake up people,-2,Sociability,Annotator_124
Women,"Not your uterus, not your choice--from conception on, it really is THAT simple! #fem2gen #YesAllWomen",2,Sociability,Annotator_124
Hillary Clinton,I just gave an unhealthy amount of my hard-earned money away to the big gov't & untrustworthy IRS. #WhyImNotVotingForHillary,0,Sociability,Annotator_124
Hillary Clinton,@user Didn't realize I was in a Republican echo chamber of faux scandals! Ask Gowdy to #Releasethetranscript  #ITrustHillary,-1,Sociability,Annotator_124
Hillary Clinton,@AC360 of course she is disappointed. Hillary only approves of lying to Americans. #WakeUpAmerica #pjnet,-3,Sociability,Annotator_124
Barack Obama,#Obama intervenes on behalf of #Greece = Hello #drachma  Socialism = equality of misery  #tcot #pjnet,0,Sociability,Annotator_124
Hillary Clinton,@user @user  Attack? More like the daily liberal media defend Hillary and her lies!!,-2,Sociability,Annotator_124
Hillary Clinton,"@HillaryClinton Your treatment of the press, Amb Stevens' fam, and the intel of the American ppl is enough to send you to jail",-2,Sociability,Annotator_124
Hillary Clinton,Hillary had just enough time to doctor her email inbox to her advantage before releasing them.... hahaha #justkidding,-2,Sociability,Annotator_124
Religious people,Any man-made ideology will always be flawed due to Man's limitations and biases. #MuslimsSalvageYourselves,1,Sociability,Annotator_124
Women,Strict gender roles in the context of a true marriage devoted to raising children will always be the ideal. No substitutes. #tcot,-1,Sociability,Annotator_124
Donald Trump,@HillaryClinton @user we need to re-establish a #global system dominated by love and affection have #moral_humane RT,0,Sociability,Annotator_124
Women,I need feminism because:  A man in a room full of women is ecstatic. A woman in a room full of men is terrified.,3,Sociability,Annotator_124
Hillary Clinton,@user @user Maybe a woman should be President.,2,Sociability,Annotator_124
Religious people,True community is being able to disagree and still love one another. #roadtolife,1,Sociability,Annotator_124
Hillary Clinton,#Hillary is as transparent as a brick wall #LibertyNotHillary,-2,Sociability,Annotator_124
Women,@ENews Tell @TerrenceJ to stop speaking about women is such a belittling manner. You should NEVER lie to women. #Equality #asshole,1,Sociability,Annotator_124
Hillary Clinton,@user @user Hillary's doing the right thing -- staying focus on her campaign.,1,Sociability,Annotator_124
Hillary Clinton,"@user @HillaryClinton shhh, go get me an iced tea.....",-2,Sociability,Annotator_124
Hillary Clinton,Will the media ever get real with Hillary? #2016 #Benghazi #Clinton,-2,Sociability,Annotator_124
Hillary Clinton,Hilly & Barry's Bloody Benghazi Bamboozle #HillaryIceCreamFlavors   #tcot #WakeUpAmerica,0,Sociability,Annotator_124
Donald Trump,@user @user . I've been reeding about Trump association with Russia for over a year . Media did next to nothing . 😤,0,Sociability,Annotator_124
Hillary Clinton,@DemocratGuide @Reuters bur #Hlllary just raised 45 million!,0,Sociability,Annotator_124
Hillary Clinton,Just ordered my Chillary Clinton Koozies. Gotta support the team.,0,Sociability,Annotator_124
Environmentalists,"We are not ""killing the Earth"". The Earth has been through worse and will be fine after all humans suffocate, drown or starve",0,Sociability,Annotator_124
Hillary Clinton,"IRS + Hillary Both ""Lost"" Government Emails: This Situation is as Clear as Day - The #Obama Admin is Destroying Evidence!",0,Sociability,Annotator_124
Women,"Just a reminder, don't take your eyes off #SCOTUS yet #reprohealth is still on the line. #womensrights #ReproJustice #reprorights",0,Sociability,Annotator_124
Hillary Clinton,@user @user I want the first female to be competent.,2,Sociability,Annotator_124
Women,How can you be female and not be a feminist? Like do you not care about your rights as a women or what?,2,Sociability,Annotator_124
Donald Trump,"@user Watching Trump is like being trapped in the Twilight Zone . No commercial break , no changing the channel .",-2,Sociability,Annotator_124
Hillary Clinton,@user if a Demonrat were to win I'd prefer Sanders over Killary.,0,Sociability,Annotator_124
Hillary Clinton,"@user @HillaryClinton @user So proud of you! Soon, we will show who we really are. Keep up the good work!",2,Sociability,Annotator_124
Donald Trump,"@user I am Canadian and was thrilled that Clinton did not win . However , I have also known who Donald Trump is since the 80's and know the damage that malignant narcissists enabled by corrupt politicians can do .",-3,Sociability,Annotator_124
Religious people,"Faith, perseverance and HardWork , is what separates Dreamers from Achievers! #GodFirst #actorslife #Dancer #LetsWork #Vision #Work",0,Sociability,Annotator_124
Hillary Clinton,Thank you for your kind RTs and FAVs @user !!! #WakeUpAmerica #todosmarchamos #Cuba,0,Sociability,Annotator_124
Hillary Clinton,"Hillary wants to be a champion for women, unless they're unborn.",-1,Sociability,Annotator_124
Hillary Clinton,#LoveWins on the day I get my Hillary gear! #Yaaas #Pride,0,Sociability,Annotator_124
Women,"Women are taught to put their values into their hymens, rather than their intelligence, accomplishments, goals or character",1,Sociability,Annotator_124
Donald Trump,@user @realDonaldTrump You can have your “ freaking ” happiness where you don’t care whether your neighbour might die because they can not afford health care . I would rather live in a country where I know everyone is provided health care regardless whether they have the ability to pay .,1,Sociability,Annotator_124
Barack Obama,David Attenborough being interviewed by President Obama is brilliant & fascinating viewing #ForeignCorrespondent #ABC #tunein,2,Sociability,Annotator_124
Hillary Clinton,.@HillaryClinton Looking 4ward 2 hearing your Economic Agenda on Monday July13. WOW a candidate talking Specifics & not Rhetoric!,3,Sociability,Annotator_124
Hillary Clinton,@HillaryClinton I notice that you didn't condemn the lawless actions of the rioters.,-2,Sociability,Annotator_124
Donald Trump,Donald Trump is the man lets get this man in the White House!!!,0,Sociability,Annotator_124
Women,Lol it's no ones choice but the woman's when it comes to abortion. Men shouldn't even be able to vote on the issue.,0,Sociability,Annotator_124
Donald Trump,Donald Trump isn't afraid to roast everyone.,0,Sociability,Annotator_124
Hillary Clinton,EVERYDAY AMERICANS AND THEIR FAMILIES NEED A CHAMPION AND HILLARY WILL BE THAT CHAMPION.,3,Sociability,Annotator_124
Women,"Women don't make 75% less than men for the same job. Women, on average, make less then men. Look it up feminazis. #EqualPayDay",2,Sociability,Annotator_124
Donald Trump,Donald Trump stays roasting on Twitter,0,Sociability,Annotator_124
Hillary Clinton,"It's time that we move from good words to good works, from sound bites to sound solutions.--@HillaryClinton #ReadyForHillary",2,Sociability,Annotator_124
