Text,Target,Dimension,Annotator_1,Annotator_2,Annotator_3,Annotator_4,Annotator_5,Annotator_6,Annotator_7
@NRO Does @user have any grasp on reality? I need more than 140 characters to address someone as naive as this man.,Hillary Clinton,Trust,0,-1,0,-2,0,-2,
"@Newsmax_Media  I bet the @realDonaldTrump does. This man knows how to save our country w/o tiptoeing around, playing games.",Donald Trump,Competence,2,2,3,2,2,,
"@Newsmax_Media  I bet the @realDonaldTrump does. This man knows how to save our country w/o tiptoeing around, playing games.",Donald Trump,Sociability,-2,0,3,3,-2,,
"@Newsmax_Media  I bet the @realDonaldTrump does. This man knows how to save our country w/o tiptoeing around, playing games.",Donald Trump,Trust,0,2,3,3,2,,
"@NickKristof @user I am so over these judges letting these little ( white ) shits go because they are "" from good families "" and "" headed to college . "" Boys from "" good families "" don't rape drunk girls . They are modeling what they see/hear at home . ( OK , I didn't read the article yet . The kid is white ? )",Women,Competence,-3,0,0,0,0,,
"@NickKristof @user I am so over these judges letting these little ( white ) shits go because they are "" from good families "" and "" headed to college . "" Boys from "" good families "" don't rape drunk girls . They are modeling what they see/hear at home . ( OK , I didn't read the article yet . The kid is white ? )",Women,Sociability,0,0,0,0,-2,,
"@NickKristof @user I am so over these judges letting these little ( white ) shits go because they are "" from good families "" and "" headed to college . "" Boys from "" good families "" don't rape drunk girls . They are modeling what they see/hear at home . ( OK , I didn't read the article yet . The kid is white ? )",Women,Trust,0,0,0,0,-2,,
@OutnumberedFNC: Hillary chooses Brianna Keilar for her first interview. What can we expect? Disgusting slobbering over her.,Hillary Clinton,Competence,-3,-1,1,2,-1,,
@OutnumberedFNC: Hillary chooses Brianna Keilar for her first interview. What can we expect? Disgusting slobbering over her.,Hillary Clinton,Sociability,-2,-2,-2,-2,0,,
@OutnumberedFNC: Hillary chooses Brianna Keilar for her first interview. What can we expect? Disgusting slobbering over her.,Hillary Clinton,Trust,-1,-3,-1,2,-3,-2,
@ProWomanChoice @user people like you are exactly what is wrong with our society. #ProCONTRACEPTION #unapologetic,Women,Competence,-2,3,-1,0,-1,,
@ProWomanChoice @user people like you are exactly what is wrong with our society. #ProCONTRACEPTION #unapologetic,Women,Sociability,0,-3,0,-2,-1,,
@ProWomanChoice @user people like you are exactly what is wrong with our society. #ProCONTRACEPTION #unapologetic,Women,Trust,1,-2,-3,3,-3,-1,
"@ProWomanChoice Exactly, no apologies needed to any #fundamentalist of any kind.  Stop apologies for rights. #p2",Women,Competence,0,2,0,2,0,,
"@ProWomanChoice Exactly, no apologies needed to any #fundamentalist of any kind.  Stop apologies for rights. #p2",Women,Sociability,0,1,2,2,2,0,
"@ProWomanChoice Exactly, no apologies needed to any #fundamentalist of any kind.  Stop apologies for rights. #p2",Women,Trust,2,-1,0,0,0,,
@ProWomanChoice forcing women to change their body's normal function is the epitome of controlling women.,Women,Competence,0,0,0,-1,0,,
@ProWomanChoice forcing women to change their body's normal function is the epitome of controlling women.,Women,Sociability,2,-2,-1,0,2,0,
@ProWomanChoice forcing women to change their body's normal function is the epitome of controlling women.,Women,Trust,3,2,2,3,3,,
"@RealDonaldTrump I feel the truth when Mr. Trump speaking, people need to understand who really cares about America",Donald Trump,Competence,1,3,3,2,3,3,3
"@RealDonaldTrump I feel the truth when Mr. Trump speaking, people need to understand who really cares about America",Donald Trump,Sociability,1,2,3,2,3,,
"@RealDonaldTrump I feel the truth when Mr. Trump speaking, people need to understand who really cares about America",Donald Trump,Trust,3,2,3,3,3,,
"@Reince Facts confirm what we knew. Used server to prevent e-mails from becoming public records. Like Obama, no transparency.",Barack Obama,Competence,-2,-1,2,-2,-3,,
"@Reince Facts confirm what we knew. Used server to prevent e-mails from becoming public records. Like Obama, no transparency.",Barack Obama,Sociability,-1,-1,-2,-2,-1,,
"@Reince Facts confirm what we knew. Used server to prevent e-mails from becoming public records. Like Obama, no transparency.",Barack Obama,Trust,-3,-2,-2,-2,-2,,
"@Reince Facts confirm what we knew. Used server to prevent e-mails from becoming public records. Like Obama, no transparency.",Hillary Clinton,Competence,-1,-1,1,2,2,,
"@Reince Facts confirm what we knew. Used server to prevent e-mails from becoming public records. Like Obama, no transparency.",Hillary Clinton,Sociability,0,0,-3,-2,0,,
"@Reince Facts confirm what we knew. Used server to prevent e-mails from becoming public records. Like Obama, no transparency.",Hillary Clinton,Trust,-3,0,-3,-3,-3,-3,
@Reince This is very credible! Good work! America is desperately in need of good leadership. #VoteGOP #NoHillary,Donald Trump,Competence,2,0,2,1,2,1,
@Reince This is very credible! Good work! America is desperately in need of good leadership. #VoteGOP #NoHillary,Donald Trump,Sociability,0,0,1,3,1,,
@Reince This is very credible! Good work! America is desperately in need of good leadership. #VoteGOP #NoHillary,Donald Trump,Trust,1,3,2,2,3,,
@Reince This is very credible! Good work! America is desperately in need of good leadership. #VoteGOP #NoHillary,Hillary Clinton,Competence,-3,0,-2,-3,-1,1,
@Reince This is very credible! Good work! America is desperately in need of good leadership. #VoteGOP #NoHillary,Hillary Clinton,Sociability,2,-1,1,-2,-1,,
@Reince This is very credible! Good work! America is desperately in need of good leadership. #VoteGOP #NoHillary,Hillary Clinton,Trust,1,-1,-2,0,-3,,
@StateDept @AmbCathyRussell @user @HillaryClinton @HillaryforIA @BarackObama The whole #world is supporting you.,Barack Obama,Competence,-1,1,1,2,2,,
@StateDept @AmbCathyRussell @user @HillaryClinton @HillaryforIA @BarackObama The whole #world is supporting you.,Barack Obama,Sociability,2,2,3,0,3,,
@StateDept @AmbCathyRussell @user @HillaryClinton @HillaryforIA @BarackObama The whole #world is supporting you.,Barack Obama,Trust,-2,3,3,3,3,3,
@StateDept @AmbCathyRussell @user @HillaryClinton @HillaryforIA @BarackObama The whole #world is supporting you.,Hillary Clinton,Competence,3,2,1,3,3,,
@StateDept @AmbCathyRussell @user @HillaryClinton @HillaryforIA @BarackObama The whole #world is supporting you.,Hillary Clinton,Sociability,3,3,3,1,0,,
@StateDept @AmbCathyRussell @user @HillaryClinton @HillaryforIA @BarackObama The whole #world is supporting you.,Hillary Clinton,Trust,2,3,3,3,3,3,
@TMZ trump a guy born with a silver spoon up his ass who has never done a hard days work in his life  #DumpTrump #YoureFired,Donald Trump,Competence,-2,1,-2,-3,,,
@TMZ trump a guy born with a silver spoon up his ass who has never done a hard days work in his life  #DumpTrump #YoureFired,Donald Trump,Sociability,-3,-3,-3,-2,-1,,
@TMZ trump a guy born with a silver spoon up his ass who has never done a hard days work in his life  #DumpTrump #YoureFired,Donald Trump,Trust,-3,-2,-3,-2,-3,,
@TheAtlantic cause  #Hillary Clinton is a LYING THEIVING CUNT,Hillary Clinton,Competence,-3,-3,2,-2,-3,,
@TheAtlantic cause  #Hillary Clinton is a LYING THEIVING CUNT,Hillary Clinton,Sociability,-3,-3,-3,-3,-3,,
@TheAtlantic cause  #Hillary Clinton is a LYING THEIVING CUNT,Hillary Clinton,Trust,-3,-3,-3,-3,-3,-3,
@TheDemocrats @user I'm down to help for 2016 election.,Hillary Clinton,Competence,0,2,0,0,-2,,
@TheDemocrats @user I'm down to help for 2016 election.,Hillary Clinton,Sociability,0,2,3,0,3,0,
@TheDemocrats @user I'm down to help for 2016 election.,Hillary Clinton,Trust,3,0,1,0,2,,
"@TheView I think our country is ready for a female pres, it can't ever be Hillary",Hillary Clinton,Competence,1,-1,-2,0,0,,
"@TheView I think our country is ready for a female pres, it can't ever be Hillary",Hillary Clinton,Sociability,-1,-2,-1,-1,-3,,
"@TheView I think our country is ready for a female pres, it can't ever be Hillary",Hillary Clinton,Trust,1,-3,-1,1,-1,-1,
@TwitchyTeam ...and then she'll turn around and treat them like dogs. #RopeLine #SitUbuSitGoodDog,Hillary Clinton,Competence,-2,-1,0,3,,,
@TwitchyTeam ...and then she'll turn around and treat them like dogs. #RopeLine #SitUbuSitGoodDog,Hillary Clinton,Sociability,-2,-2,-2,-2,-1,,
@TwitchyTeam ...and then she'll turn around and treat them like dogs. #RopeLine #SitUbuSitGoodDog,Hillary Clinton,Trust,-3,-2,0,-2,-3,,
@UN_Women @WomenUndrSiege @OSCE_RFoM It should be considered a hate crime if someone makes a threat against a woman.,Women,Competence,0,3,-1,3,0,,
@UN_Women @WomenUndrSiege @OSCE_RFoM It should be considered a hate crime if someone makes a threat against a woman.,Women,Sociability,1,0,3,1,-3,,
@UN_Women @WomenUndrSiege @OSCE_RFoM It should be considered a hate crime if someone makes a threat against a woman.,Women,Trust,0,3,3,3,0,,
@USATODAY @HillaryClinton how about finding her a #pathtoJAIL #DONOTPASSGO do collect any Any more of #WeThePeople s,Hillary Clinton,Competence,-2,-3,-2,-3,-2,,
@USATODAY @HillaryClinton how about finding her a #pathtoJAIL #DONOTPASSGO do collect any Any more of #WeThePeople s,Hillary Clinton,Sociability,-2,-3,-3,0,-1,,
@USATODAY @HillaryClinton how about finding her a #pathtoJAIL #DONOTPASSGO do collect any Any more of #WeThePeople s,Hillary Clinton,Trust,-1,-3,-3,0,-3,,
@Upworthy @HillaryClinton It should be illegal for an employer to discriminate against their workers. #EqualityForAll,Hillary Clinton,Competence,0,3,0,0,0,,
@Upworthy @HillaryClinton It should be illegal for an employer to discriminate against their workers. #EqualityForAll,Hillary Clinton,Sociability,1,1,3,0,3,-1,
@Upworthy @HillaryClinton It should be illegal for an employer to discriminate against their workers. #EqualityForAll,Hillary Clinton,Trust,0,0,2,0,-1,,
@WSJ . Clinton Foundation to keep accepting bribes from foreign governments #WhyImNotVotingForHillary,Hillary Clinton,Competence,1,0,2,2,-1,0,-1
@WSJ . Clinton Foundation to keep accepting bribes from foreign governments #WhyImNotVotingForHillary,Hillary Clinton,Sociability,-2,-2,-2,-3,-1,,
@WSJ . Clinton Foundation to keep accepting bribes from foreign governments #WhyImNotVotingForHillary,Hillary Clinton,Trust,-3,0,-2,-3,-3,,
@WalshFreedom Agree ... and I've been a Republican all my life until trump .,Donald Trump,Competence,-1,-2,-1,0,0,,
@WalshFreedom Agree ... and I've been a Republican all my life until trump .,Donald Trump,Sociability,-2,-2,1,-1,-2,,
@WalshFreedom Agree ... and I've been a Republican all my life until trump .,Donald Trump,Trust,-3,1,-2,-3,-3,0,
@WashTimes @user Why is there no outrage about all the smoke & mirrors w/ this candidate? Are you hiding Hill! #SpillHill,Hillary Clinton,Competence,0,-2,2,-1,-2,-1,
@WashTimes @user Why is there no outrage about all the smoke & mirrors w/ this candidate? Are you hiding Hill! #SpillHill,Hillary Clinton,Sociability,-1,-1,0,-1,-1,,
@WashTimes @user Why is there no outrage about all the smoke & mirrors w/ this candidate? Are you hiding Hill! #SpillHill,Hillary Clinton,Trust,-2,-1,-3,-3,-3,,
@WhiteHouse @POTUS #Imagine no religion. There's no God. Loving one another unconditionally is what matters. WTG USA! #LoveWins,Religious people,Competence,0,-2,-2,-1,1,-2,-1
@WhiteHouse @POTUS #Imagine no religion. There's no God. Loving one another unconditionally is what matters. WTG USA! #LoveWins,Religious people,Sociability,-1,-2,2,-2,3,,
@WhiteHouse @POTUS #Imagine no religion. There's no God. Loving one another unconditionally is what matters. WTG USA! #LoveWins,Religious people,Trust,3,-1,-2,-2,-2,,
@WhiteHouse Ok bozo we see with our own eyes the peaceful nature of most of the protests . For those that aren't peaceful blame a small element of outsiders and NOT ANTIFASCISTS but Trump's friends the extreme right wing racists .,Donald Trump,Competence,-2,1,1,-2,-2,,
@WhiteHouse Ok bozo we see with our own eyes the peaceful nature of most of the protests . For those that aren't peaceful blame a small element of outsiders and NOT ANTIFASCISTS but Trump's friends the extreme right wing racists .,Donald Trump,Sociability,-3,-3,-2,-1,-1,,
@WhiteHouse Ok bozo we see with our own eyes the peaceful nature of most of the protests . For those that aren't peaceful blame a small element of outsiders and NOT ANTIFASCISTS but Trump's friends the extreme right wing racists .,Donald Trump,Trust,-3,-3,-3,-3,-3,-1,
@abc13houston Don't Let Obama Control Your Actions. Progressives have destroyed the Black Community #LBJ #Clintons #Drugs,Barack Obama,Competence,-2,-1,-3,3,,,
@abc13houston Don't Let Obama Control Your Actions. Progressives have destroyed the Black Community #LBJ #Clintons #Drugs,Barack Obama,Sociability,-2,-2,-2,-2,-3,,
@abc13houston Don't Let Obama Control Your Actions. Progressives have destroyed the Black Community #LBJ #Clintons #Drugs,Barack Obama,Trust,-3,0,-1,-2,-3,,
@ac360 @user @andersoncooper #AC360 HECK YEAH BOMB THE CRAP OUT OF #IRAQ & SEND IN PROS TO RUN OIL FIELDS! @realDonaldTrump,Donald Trump,Competence,2,2,2,2,2,0,-3
@ac360 @user @andersoncooper #AC360 HECK YEAH BOMB THE CRAP OUT OF #IRAQ & SEND IN PROS TO RUN OIL FIELDS! @realDonaldTrump,Donald Trump,Sociability,1,2,-3,3,-2,,
@ac360 @user @andersoncooper #AC360 HECK YEAH BOMB THE CRAP OUT OF #IRAQ & SEND IN PROS TO RUN OIL FIELDS! @realDonaldTrump,Donald Trump,Trust,0,1,1,0,2,,
@clairecmc @user is that why she and @ClintonGlobal take that #Saudi money? #SaudiCables #SaudiCables #clinton2016,Hillary Clinton,Competence,-1,-1,-1,-3,2,,
@clairecmc @user is that why she and @ClintonGlobal take that #Saudi money? #SaudiCables #SaudiCables #clinton2016,Hillary Clinton,Sociability,-2,-2,-1,-1,-1,-3,
@clairecmc @user is that why she and @ClintonGlobal take that #Saudi money? #SaudiCables #SaudiCables #clinton2016,Hillary Clinton,Trust,-3,0,-2,-2,-3,,
@foxnation That should have been done BEFORE she got rid of it!!! #NoHillary2016,Hillary Clinton,Competence,0,0,-1,-1,0,,
@foxnation That should have been done BEFORE she got rid of it!!! #NoHillary2016,Hillary Clinton,Sociability,-1,0,-1,-3,-1,,
@foxnation That should have been done BEFORE she got rid of it!!! #NoHillary2016,Hillary Clinton,Trust,-1,-2,-3,-3,-3,,
@foxnewspolitics NOT EVEN A LITTLE BIT!!! #Nobama #WeMissYouGipper,Barack Obama,Competence,2,-2,-2,0,-2,0,-1
@foxnewspolitics NOT EVEN A LITTLE BIT!!! #Nobama #WeMissYouGipper,Barack Obama,Sociability,0,-1,-1,0,-2,,
@foxnewspolitics NOT EVEN A LITTLE BIT!!! #Nobama #WeMissYouGipper,Barack Obama,Trust,-3,-3,-2,-3,-3,,
@greggutfeld Greg .... I am scared ! For the first time ! I am 67 and I came through a lot .... in the 60’s .... but something is different this time . The hate for Trump is dangerous ! I am trying to stay strong but this is bad !,Donald Trump,Competence,-3,-2,2,-2,2,,
@greggutfeld Greg .... I am scared ! For the first time ! I am 67 and I came through a lot .... in the 60’s .... but something is different this time . The hate for Trump is dangerous ! I am trying to stay strong but this is bad !,Donald Trump,Sociability,1,2,0,-2,-1,,
@greggutfeld Greg .... I am scared ! For the first time ! I am 67 and I came through a lot .... in the 60’s .... but something is different this time . The hate for Trump is dangerous ! I am trying to stay strong but this is bad !,Donald Trump,Trust,0,1,1,2,1,3,
@marcorubio will not let our enemies take advantage of us like Obama is doing & Hillary will do! @user #NewAmericanCentury,Barack Obama,Competence,1,-2,-3,-2,1,3,-1
@marcorubio will not let our enemies take advantage of us like Obama is doing & Hillary will do! @user #NewAmericanCentury,Barack Obama,Sociability,-1,-1,-2,-3,-1,,
@marcorubio will not let our enemies take advantage of us like Obama is doing & Hillary will do! @user #NewAmericanCentury,Barack Obama,Trust,2,-2,-2,-3,-3,,
@marcorubio will not let our enemies take advantage of us like Obama is doing & Hillary will do! @user #NewAmericanCentury,Hillary Clinton,Competence,2,-3,-2,2,1,-1,
@marcorubio will not let our enemies take advantage of us like Obama is doing & Hillary will do! @user #NewAmericanCentury,Hillary Clinton,Sociability,-1,-2,0,0,1,,
@marcorubio will not let our enemies take advantage of us like Obama is doing & Hillary will do! @user #NewAmericanCentury,Hillary Clinton,Trust,2,2,-3,-2,-3,,
@marieclaire Or...She's a grown 21st century woman who may do whatever pleases her! Especially with her fashion and body!,Women,Competence,3,2,2,1,2,,
@marieclaire Or...She's a grown 21st century woman who may do whatever pleases her! Especially with her fashion and body!,Women,Sociability,-1,2,1,-1,2,,
@marieclaire Or...She's a grown 21st century woman who may do whatever pleases her! Especially with her fashion and body!,Women,Trust,0,2,2,2,0,,
@neiltyson the more afraid you're wrong the stronger you fight to avoid facing facts. Belief based in fear just compounds that,Religious people,Competence,-2,-1,1,0,-3,,
@neiltyson the more afraid you're wrong the stronger you fight to avoid facing facts. Belief based in fear just compounds that,Religious people,Sociability,0,-2,-3,2,-2,,
@neiltyson the more afraid you're wrong the stronger you fight to avoid facing facts. Belief based in fear just compounds that,Religious people,Trust,-1,-2,-1,0,-2,,
"@nytimes Thanks to anti-choicers, women dealing with this may also face prosecution.",Women,Competence,0,0,0,1,0,0,2
"@nytimes Thanks to anti-choicers, women dealing with this may also face prosecution.",Women,Sociability,1,0,0,2,-2,,
"@nytimes Thanks to anti-choicers, women dealing with this may also face prosecution.",Women,Trust,-2,1,2,0,3,,
@oreillyfactor Who gives a rate ass what a Old Queen has to say about Clarence Thomas?,Hillary Clinton,Competence,0,-1,-3,-2,0,-2,-2
@oreillyfactor Who gives a rate ass what a Old Queen has to say about Clarence Thomas?,Hillary Clinton,Sociability,-1,0,-2,-3,-2,,
@oreillyfactor Who gives a rate ass what a Old Queen has to say about Clarence Thomas?,Hillary Clinton,Trust,-2,-3,-1,-3,0,,
@readyforHRC @HillaryClinton  Support encourage #HillaryClinton president #UnitedStates world is success of women in  world,Hillary Clinton,Competence,-3,1,1,2,3,2,
@readyforHRC @HillaryClinton  Support encourage #HillaryClinton president #UnitedStates world is success of women in  world,Hillary Clinton,Sociability,3,3,3,3,1,-3,
@readyforHRC @HillaryClinton  Support encourage #HillaryClinton president #UnitedStates world is success of women in  world,Hillary Clinton,Trust,3,2,2,2,3,,
@readyforHRC @HillaryClinton  Support encourage #HillaryClinton president #UnitedStates world is success of women in  world,Women,Competence,1,3,2,1,0,,
@readyforHRC @HillaryClinton  Support encourage #HillaryClinton president #UnitedStates world is success of women in  world,Women,Sociability,3,3,2,3,1,3,
@readyforHRC @HillaryClinton  Support encourage #HillaryClinton president #UnitedStates world is success of women in  world,Women,Trust,3,1,1,3,2,,
"@readyforHRC @HillaryClinton #HillaryClinton, the US presidency is a testament to the success of #women their role in the world",Hillary Clinton,Competence,2,3,0,0,3,,
"@readyforHRC @HillaryClinton #HillaryClinton, the US presidency is a testament to the success of #women their role in the world",Hillary Clinton,Sociability,3,2,3,3,3,2,
"@readyforHRC @HillaryClinton #HillaryClinton, the US presidency is a testament to the success of #women their role in the world",Hillary Clinton,Trust,3,3,3,2,0,,
"@readyforHRC @HillaryClinton #HillaryClinton, the US presidency is a testament to the success of #women their role in the world",Women,Competence,3,3,3,3,3,,
"@readyforHRC @HillaryClinton #HillaryClinton, the US presidency is a testament to the success of #women their role in the world",Women,Sociability,2,3,3,3,3,3,
"@readyforHRC @HillaryClinton #HillaryClinton, the US presidency is a testament to the success of #women their role in the world",Women,Trust,3,2,3,2,3,,
@realDonaldTrump  I like Mexicans who come to US legally.  #IStandWithTrump,Donald Trump,Competence,1,2,2,2,2,,
@realDonaldTrump  I like Mexicans who come to US legally.  #IStandWithTrump,Donald Trump,Sociability,2,2,3,3,2,,
@realDonaldTrump  I like Mexicans who come to US legally.  #IStandWithTrump,Donald Trump,Trust,-1,0,3,1,3,,
@realDonaldTrump  Just registered to Vote Today so I can contribute to help #MakeAmericaGreatAgain #Honesty,Donald Trump,Competence,1,3,0,2,0,,
@realDonaldTrump  Just registered to Vote Today so I can contribute to help #MakeAmericaGreatAgain #Honesty,Donald Trump,Sociability,-2,2,3,3,1,,
@realDonaldTrump  Just registered to Vote Today so I can contribute to help #MakeAmericaGreatAgain #Honesty,Donald Trump,Trust,-1,3,2,2,2,,
@realDonaldTrump  Some people just want to be president.  Others want to MAKE AMERICA GREAT AGAIN!,Donald Trump,Competence,2,3,3,1,1,,
@realDonaldTrump  Some people just want to be president.  Others want to MAKE AMERICA GREAT AGAIN!,Donald Trump,Sociability,0,0,3,3,1,,
@realDonaldTrump  Some people just want to be president.  Others want to MAKE AMERICA GREAT AGAIN!,Donald Trump,Trust,2,2,2,-2,3,,
@realDonaldTrump  WE WANT TRUMP! WE WANT TRUMP! WE WANT TRUMP!!! #MakeAmericaGreatAgain,Donald Trump,Competence,1,-3,3,2,3,,
@realDonaldTrump  WE WANT TRUMP! WE WANT TRUMP! WE WANT TRUMP!!! #MakeAmericaGreatAgain,Donald Trump,Sociability,3,3,3,0,3,,
@realDonaldTrump  WE WANT TRUMP! WE WANT TRUMP! WE WANT TRUMP!!! #MakeAmericaGreatAgain,Donald Trump,Trust,3,3,3,3,3,3,
@realDonaldTrump ' It takes great bravery to stand up to your enemies but even more to stand up to your friends' we need you,Donald Trump,Competence,3,3,2,2,1,,
@realDonaldTrump ' It takes great bravery to stand up to your enemies but even more to stand up to your friends' we need you,Donald Trump,Sociability,1,2,1,3,2,,
@realDonaldTrump ' It takes great bravery to stand up to your enemies but even more to stand up to your friends' we need you,Donald Trump,Trust,3,3,1,2,0,,
@realDonaldTrump - You are not very smart Donald,Donald Trump,Competence,-3,-3,-3,-3,0,-3,-2
@realDonaldTrump - You are not very smart Donald,Donald Trump,Sociability,-1,-1,-3,-3,-2,,
@realDonaldTrump - You are not very smart Donald,Donald Trump,Trust,-2,2,-1,0,-2,,
"@realDonaldTrump @FLOTUS @user What is a soft-core porn actress doing there ? Oh ... its Donnie's wife , carry on .",Donald Trump,Competence,0,-2,-3,-3,-1,,
"@realDonaldTrump @FLOTUS @user What is a soft-core porn actress doing there ? Oh ... its Donnie's wife , carry on .",Donald Trump,Sociability,1,-2,-2,-3,-1,-1,
"@realDonaldTrump @FLOTUS @user What is a soft-core porn actress doing there ? Oh ... its Donnie's wife , carry on .",Donald Trump,Trust,-2,0,0,-2,-3,,
@realDonaldTrump @WhoopiGoldberg @user #VoteForHillary @HillaryClinton isn't racist. A leader who demands #EqualityForAll,Hillary Clinton,Competence,3,2,2,2,3,1,
@realDonaldTrump @WhoopiGoldberg @user #VoteForHillary @HillaryClinton isn't racist. A leader who demands #EqualityForAll,Hillary Clinton,Sociability,2,2,0,0,1,,
@realDonaldTrump @WhoopiGoldberg @user #VoteForHillary @HillaryClinton isn't racist. A leader who demands #EqualityForAll,Hillary Clinton,Trust,0,3,2,2,-2,,
@realDonaldTrump @user GOP wants to discredit Mr. Trump and his reputation clean like diamonds #usa,Donald Trump,Competence,2,3,-2,0,3,,
@realDonaldTrump @user GOP wants to discredit Mr. Trump and his reputation clean like diamonds #usa,Donald Trump,Sociability,0,2,0,1,-2,,
@realDonaldTrump @user GOP wants to discredit Mr. Trump and his reputation clean like diamonds #usa,Donald Trump,Trust,-2,2,3,1,3,,
@realDonaldTrump @user So he can outsource all our manufacturing to Mexico and China like he does his line. #hypocrite,Donald Trump,Competence,2,-2,0,2,-2,,
@realDonaldTrump @user So he can outsource all our manufacturing to Mexico and China like he does his line. #hypocrite,Donald Trump,Sociability,-2,-2,-2,-2,-1,-2,
@realDonaldTrump @user So he can outsource all our manufacturing to Mexico and China like he does his line. #hypocrite,Donald Trump,Trust,-2,-3,-2,-1,1,,
@realDonaldTrump @user We needs some Ballz back in the WH..,Donald Trump,Competence,1,1,0,1,3,,
@realDonaldTrump @user We needs some Ballz back in the WH..,Donald Trump,Sociability,-1,0,3,0,2,,
@realDonaldTrump @user We needs some Ballz back in the WH..,Donald Trump,Trust,1,3,-2,2,0,,
"@realDonaldTrump A man who isn't afraid to speak the truth is a man who I'll vote for! Take it home, Mr. Trump! #FuturePresident",Donald Trump,Competence,2,3,3,3,-1,2,3
"@realDonaldTrump A man who isn't afraid to speak the truth is a man who I'll vote for! Take it home, Mr. Trump! #FuturePresident",Donald Trump,Sociability,1,2,3,3,2,,
"@realDonaldTrump A man who isn't afraid to speak the truth is a man who I'll vote for! Take it home, Mr. Trump! #FuturePresident",Donald Trump,Trust,3,3,3,3,3,,
@realDonaldTrump Any more campaign stops in Chicago anytime soon? Good luck!,Donald Trump,Competence,0,0,-2,1,2,0,
@realDonaldTrump Any more campaign stops in Chicago anytime soon? Good luck!,Donald Trump,Sociability,2,1,2,3,0,1,
@realDonaldTrump Any more campaign stops in Chicago anytime soon? Good luck!,Donald Trump,Trust,1,-1,0,0,0,,
@realDonaldTrump Canada supports you! Please stop the ILLEGALS at your boarder before they get to ours.,Donald Trump,Competence,2,2,2,3,3,-3,
@realDonaldTrump Canada supports you! Please stop the ILLEGALS at your boarder before they get to ours.,Donald Trump,Sociability,-1,-3,2,3,0,,
@realDonaldTrump Canada supports you! Please stop the ILLEGALS at your boarder before they get to ours.,Donald Trump,Trust,2,2,3,1,3,,
@realDonaldTrump Don't let the @GOP tell you how to run!  #America doesn't need another politician.  #MakeAmericaGreatAgain only,Donald Trump,Competence,2,1,0,-1,3,,
@realDonaldTrump Don't let the @GOP tell you how to run!  #America doesn't need another politician.  #MakeAmericaGreatAgain only,Donald Trump,Sociability,-1,3,1,0,3,1,
@realDonaldTrump Don't let the @GOP tell you how to run!  #America doesn't need another politician.  #MakeAmericaGreatAgain only,Donald Trump,Trust,0,-3,3,0,1,,
"@realDonaldTrump Donnie , you're right . The world is watching POTUS have a childish temper tantrum , make a fool of himself , & embarrass the USA while he's at it\nIt's actually almost amusing to watch\nFrom a safe distance , of course !! ( At least 2 m)\nGo golf , before you break something else 🤦‍♂️",Donald Trump,Competence,-3,-3,-3,-3,-3,2,
"@realDonaldTrump Donnie , you're right . The world is watching POTUS have a childish temper tantrum , make a fool of himself , & embarrass the USA while he's at it\nIt's actually almost amusing to watch\nFrom a safe distance , of course !! ( At least 2 m)\nGo golf , before you break something else 🤦‍♂️",Donald Trump,Sociability,-2,-2,-1,-1,-2,,
"@realDonaldTrump Donnie , you're right . The world is watching POTUS have a childish temper tantrum , make a fool of himself , & embarrass the USA while he's at it\nIt's actually almost amusing to watch\nFrom a safe distance , of course !! ( At least 2 m)\nGo golf , before you break something else 🤦‍♂️",Donald Trump,Trust,-2,-3,-3,-2,-2,,
@realDonaldTrump Everyone is afraid to put a plan on the table for fear they'll be called a racist...America deserves better,Donald Trump,Competence,2,2,0,0,1,,
@realDonaldTrump Everyone is afraid to put a plan on the table for fear they'll be called a racist...America deserves better,Donald Trump,Sociability,0,0,-1,-1,-2,,
@realDonaldTrump Everyone is afraid to put a plan on the table for fear they'll be called a racist...America deserves better,Donald Trump,Trust,-2,2,0,3,2,,
@realDonaldTrump Favorites and retweets keep piling up for Trump! He's killing the other candidates!,Donald Trump,Competence,2,1,1,3,,,
@realDonaldTrump Favorites and retweets keep piling up for Trump! He's killing the other candidates!,Donald Trump,Sociability,1,2,1,2,2,,
@realDonaldTrump Favorites and retweets keep piling up for Trump! He's killing the other candidates!,Donald Trump,Trust,3,1,2,3,3,,
@realDonaldTrump Go get 'em Mr. Trump!!!,Donald Trump,Competence,0,2,1,2,3,,
@realDonaldTrump Go get 'em Mr. Trump!!!,Donald Trump,Sociability,0,2,1,2,1,,
@realDonaldTrump Go get 'em Mr. Trump!!!,Donald Trump,Trust,3,2,3,2,2,,
@realDonaldTrump Hell I'm from the UK and I believe @realDonaldTrump would make an amazing WORLD Leader,Donald Trump,Competence,1,1,-3,3,,,
@realDonaldTrump Hell I'm from the UK and I believe @realDonaldTrump would make an amazing WORLD Leader,Donald Trump,Sociability,2,2,3,3,3,,
@realDonaldTrump Hell I'm from the UK and I believe @realDonaldTrump would make an amazing WORLD Leader,Donald Trump,Trust,2,1,3,3,3,,
@realDonaldTrump How could any reasonable intelligent person believe you when all you do is lie ?,Donald Trump,Competence,-2,-2,1,-2,-3,-2,-2
@realDonaldTrump How could any reasonable intelligent person believe you when all you do is lie ?,Donald Trump,Sociability,-1,-2,-2,-2,-1,,
@realDonaldTrump How could any reasonable intelligent person believe you when all you do is lie ?,Donald Trump,Trust,-3,-3,-3,-3,-3,,
